folio,upm,estrato,hs04_0060,hs04_0061,hs04_0061_cod,hs04_0062,hs04_0062_cod,hs04_0063,hs04_0064,hs04_0064_cod,hs04_0065,hs04_0065_cod,hs04_0066,hs04_0067,hs04_0067_cod,hs04_0068,hs04_0069,hs04_0070,hs04_0070_cod,hs04_0071,hs04_0072,hs04_0073,hs04_0074,hs04_0075,hs04_0076,hs04_0076_cod,hs04_0077,hs04_0078,hs04_0079,hs04_0080_1_cod,hs04_0080_2_cod,hs04_0080_3_cod,hs04_0080_4_cod,hs04_0080_5_cod,hs04_0080_6_cod,hs04_0080_X_cod,hs04_0081_01,hs04_0081_02,hs04_0081_03,hs04_0081_04,hs04_0081_05,hs04_0081_06,hs04_0081_07,hs04_0081_08,hs04_0081_09,hs04_0081_10,hs04_0081_11,hs04_0081_12,hs04_0081_13,hs04_0081_14,hs04_0081_15,hs04_0081_16,hs04_0081_17,hs04_0081_X_cod,hs04_0082,hs04_0083,hs04_0083_cod,hs04_0084,hs04_0085_01,hs04_0085_02,hs04_0085_03,hs04_0085_04,hs04_0086,hs04_0087,hs05_0088,hs05_0089,ponderadorhviv,area,region,departamento,qriqueza,cviv
112-000389-A-0151,112-000389-A,112,1. CASA,2. PROPIA TOTALMENTE PAGADA,,1. LADRILLO/ BLOQUE DE CEMENTO/ HORMIGÓN,,1. SI,3. LOSA DE HORMIGÓN ARMADO,,7. MOSAICO / BALDOSAS / CERÁMICA,,1. SI,1. CAÑERIA DE RED DENTRO DE LA VIVIENDA,,,,,,1. TODO EL TIEMPO,1. SI,1. BAÑO O LETRINA CON DESCARGA DE AGUA,1. A LA RED  DE  ALCANTARILLADO,1. USADO SOLO POR SU HOGAR,4. GAS NATURAL POR RED (CAÑERIA),,1. SI,5.0,4.0,,,,,,1.  NO TIENE ANIMALES,,1. SI,1. SI,2. NO,1. SI,1. SI,1. SI,1. SI,2. NO,1. SI,2. NO,1. SI,1. SI,1. SI,2. NO,1. SI,1. SI,2. NO,,2. NO,2. UTILIZAN EL SERVICIO PÚBLICO DE RECOLECCIÓN (CARRO BASURERO),,2. NO,,,,,2. NO,21:07,1. SAL EN BOLSAS CON SELLO,1. POSITIVO (COLOR MORADO),0.42366490849752453,1. Urbana,2. Valles,1. Chuquisaca,5. QUINTIL SUPERIOR,1. CALIDAD ALTA
112-000389-A-0161,112-000389-A,112,1. CASA,2. PROPIA TOTALMENTE PAGADA,,1. LADRILLO/ BLOQUE DE CEMENTO/ HORMIGÓN,,1. SI,1. CALAMINA O PLANCHA,,7. MOSAICO / BALDOSAS / CERÁMICA,,1. SI,1. CAÑERIA DE RED DENTRO DE LA VIVIENDA,,,,,,1. TODO EL TIEMPO,1. SI,1. BAÑO O LETRINA CON DESCARGA DE AGUA,1. A LA RED  DE  ALCANTARILLADO,1. USADO SOLO POR SU HOGAR,4. GAS NATURAL POR RED (CAÑERIA),,1. SI,4.0,3.0,1. CON PERROS,,,,,,,1. SI,1. SI,2. NO,1. SI,1. SI,1. SI,2. NO,2. NO,1. SI,2. NO,1. SI,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,2. UTILIZAN EL SERVICIO PÚBLICO DE RECOLECCIÓN (CARRO BASURERO),,2. NO,,,,,1. SI,15:48,1. SAL EN BOLSAS CON SELLO,2. NEGATIVO (NO CAMBIA DE COLOR),0.42366490849752453,1. Urbana,2. Valles,1. Chuquisaca,5. QUINTIL SUPERIOR,1. CALIDAD ALTA
152-004014-D-0101,152-004014-D,122,1. CASA,2. PROPIA TOTALMENTE PAGADA,,2. ADOBE/ TAPIAL,,1. SI,2. TEJA (CEMENTO/ ARCILLA/ FIBROCEMENTO),,6. CEMENTO,,1. SI,9. MANANTIAL O VERTIENTE PROTEGIDA,,996. ES EN EL SITIO,2. NO LA TRATA,,,1. TODO EL TIEMPO,2. NO,,,,1. LEÑA,,2. NO,2.0,1.0,1. CON PERROS,,,,,,,1. SI,2. NO,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,6. LA ENTIERRAN,,1. SI,1. SI,2. NO,2. NO,2. NO,2. NO,07:56,1. SAL EN BOLSAS CON SELLO,1. POSITIVO (COLOR MORADO),0.5713933118553888,2. Rural,2. Valles,1. Chuquisaca,1. QUINTIL INFERIOR,0. CALIDAD MEDIA
152-004014-D-0141,152-004014-D,122,1. CASA,2. PROPIA TOTALMENTE PAGADA,,2. ADOBE/ TAPIAL,,1. SI,2. TEJA (CEMENTO/ ARCILLA/ FIBROCEMENTO),,6. CEMENTO,,1. SI,9. MANANTIAL O VERTIENTE PROTEGIDA,,996. ES EN EL SITIO,2. NO LA TRATA,,,1. TODO EL TIEMPO,2. NO,,,,1. LEÑA,,2. NO,1.0,0.0,,,,,,1.  NO TIENE ANIMALES,,1. SI,2. NO,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,5. LA QUEMAN,,2. NO,,,,,2. NO,16:18,1. SAL EN BOLSAS CON SELLO,1. POSITIVO (COLOR MORADO),0.5713933118553888,2. Rural,2. Valles,1. Chuquisaca,1. QUINTIL INFERIOR,0. CALIDAD MEDIA
152-004014-D-0051,152-004014-D,122,4. CUARTO(S) O HABITACION(ES) SUELTA(S),6. PRESTADA POR PARIENTES O AMIGOS,,2. ADOBE/ TAPIAL,,1. SI,2. TEJA (CEMENTO/ ARCILLA/ FIBROCEMENTO),,1. TIERRA,,1. SI,9. MANANTIAL O VERTIENTE PROTEGIDA,,996. ES EN EL SITIO,2. NO LA TRATA,,,1. TODO EL TIEMPO,2. NO,,,,1. LEÑA,,2. NO,1.0,1.0,1. CON PERROS,,,,,,,1. SI,1. SI,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,5. LA QUEMAN,,1. SI,1. SI,2. NO,2. NO,2. NO,2. NO,09:16,1. SAL EN BOLSAS CON SELLO,2. NEGATIVO (NO CAMBIA DE COLOR),0.5713933118553888,2. Rural,2. Valles,1. Chuquisaca,1. QUINTIL INFERIOR,0. CALIDAD MEDIA
152-004014-D-0011,152-004014-D,122,1. CASA,2. PROPIA TOTALMENTE PAGADA,,2. ADOBE/ TAPIAL,,2. NO,2. TEJA (CEMENTO/ ARCILLA/ FIBROCEMENTO),,1. TIERRA,,1. SI,9. MANANTIAL O VERTIENTE PROTEGIDA,,996. ES EN EL SITIO,2. NO LA TRATA,,,2. UNAS POCAS HORAS DIARIAS,2. NO,,,,1. LEÑA,,2. NO,3.0,1.0,1. CON PERROS,1.  CON GATOS,,,,,,2. NO,2. NO,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,6. LA ENTIERRAN,,1. SI,1. SI,2. NO,2. NO,2. NO,2. NO,14:00,1. SAL EN BOLSAS CON SELLO,2. NEGATIVO (NO CAMBIA DE COLOR),0.5713933118553888,2. Rural,2. Valles,1. Chuquisaca,1. QUINTIL INFERIOR,0. CALIDAD MEDIA
113-001401-A-0271,113-001401-A,113,1. CASA,2. PROPIA TOTALMENTE PAGADA,,1. LADRILLO/ BLOQUE DE CEMENTO/ HORMIGÓN,,1. SI,3. LOSA DE HORMIGÓN ARMADO,,6. CEMENTO,,1. SI,"2. CAÑERIA DE RED FUERA DE LA VIVIENDA, PERO DENTRO DEL LOTE  O TERRENO",,,,,,1. TODO EL TIEMPO,1. SI,1. BAÑO O LETRINA CON DESCARGA DE AGUA,1. A LA RED  DE  ALCANTARILLADO,2. COMPARTIDO CON OTROS HOGARES,4. GAS NATURAL POR RED (CAÑERIA),,1. SI,1.0,1.0,,,,,,1.  NO TIENE ANIMALES,,1. SI,1. SI,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,1. SI,2. UTILIZAN EL SERVICIO PÚBLICO DE RECOLECCIÓN (CARRO BASURERO),,2. NO,,,,,2. NO,11:22,1. SAL EN BOLSAS CON SELLO,2. NEGATIVO (NO CAMBIA DE COLOR),0.7854636719042969,1. Urbana,2. Valles,1. Chuquisaca,3. QUINTIL INTERMEDIO,1. CALIDAD ALTA
113-001401-A-0301,113-001401-A,113,1. CASA,2. PROPIA TOTALMENTE PAGADA,,1. LADRILLO/ BLOQUE DE CEMENTO/ HORMIGÓN,,1. SI,1. CALAMINA O PLANCHA,,6. CEMENTO,,1. SI,"2. CAÑERIA DE RED FUERA DE LA VIVIENDA, PERO DENTRO DEL LOTE  O TERRENO",,,,,,1. TODO EL TIEMPO,1. SI,1. BAÑO O LETRINA CON DESCARGA DE AGUA,1. A LA RED  DE  ALCANTARILLADO,1. USADO SOLO POR SU HOGAR,4. GAS NATURAL POR RED (CAÑERIA),,1. SI,1.0,1.0,1. CON PERROS,,,,,,,1. SI,1. SI,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,2. UTILIZAN EL SERVICIO PÚBLICO DE RECOLECCIÓN (CARRO BASURERO),,2. NO,,,,,1. SI,07:15,1. SAL EN BOLSAS CON SELLO,1. POSITIVO (COLOR MORADO),0.7854636719042969,1. Urbana,2. Valles,1. Chuquisaca,3. QUINTIL INTERMEDIO,1. CALIDAD ALTA
113-001401-A-0331,113-001401-A,113,1. CASA,2. PROPIA TOTALMENTE PAGADA,,1. LADRILLO/ BLOQUE DE CEMENTO/ HORMIGÓN,,1. SI,2. TEJA (CEMENTO/ ARCILLA/ FIBROCEMENTO),,7. MOSAICO / BALDOSAS / CERÁMICA,,1. SI,1. CAÑERIA DE RED DENTRO DE LA VIVIENDA,,,,,,1. TODO EL TIEMPO,1. SI,1. BAÑO O LETRINA CON DESCARGA DE AGUA,1. A LA RED  DE  ALCANTARILLADO,1. USADO SOLO POR SU HOGAR,4. GAS NATURAL POR RED (CAÑERIA),,1. SI,5.0,4.0,1. CON PERROS,,,,,,,1. SI,1. SI,1. SI,1. SI,1. SI,1. SI,1. SI,1. SI,1. SI,1. SI,1. SI,1. SI,1. SI,1. SI,2. NO,1. SI,2. NO,,1. SI,2. UTILIZAN EL SERVICIO PÚBLICO DE RECOLECCIÓN (CARRO BASURERO),,2. NO,,,,,2. NO,12:48,1. SAL EN BOLSAS CON SELLO,1. POSITIVO (COLOR MORADO),0.7854636719042969,1. Urbana,2. Valles,1. Chuquisaca,5. QUINTIL SUPERIOR,1. CALIDAD ALTA
113-001401-A-0371,113-001401-A,113,4. CUARTO(S) O HABITACION(ES) SUELTA(S),1. ALQUILADA,,1. LADRILLO/ BLOQUE DE CEMENTO/ HORMIGÓN,,1. SI,2. TEJA (CEMENTO/ ARCILLA/ FIBROCEMENTO),,7. MOSAICO / BALDOSAS / CERÁMICA,,1. SI,"2. CAÑERIA DE RED FUERA DE LA VIVIENDA, PERO DENTRO DEL LOTE  O TERRENO",,,,,,1. TODO EL TIEMPO,1. SI,1. BAÑO O LETRINA CON DESCARGA DE AGUA,1. A LA RED  DE  ALCANTARILLADO,2. COMPARTIDO CON OTROS HOGARES,3. GAS LICUADO (GARRAFA),,2. NO,1.0,0.0,,,,,,1.  NO TIENE ANIMALES,,2. NO,1. SI,2. NO,1. SI,1. SI,1. SI,2. NO,2. NO,2. NO,2. NO,1. SI,1. SI,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,2. UTILIZAN EL SERVICIO PÚBLICO DE RECOLECCIÓN (CARRO BASURERO),,2. NO,,,,,1. SI,15:53,1. SAL EN BOLSAS CON SELLO,1. POSITIVO (COLOR MORADO),0.7854636719042969,1. Urbana,2. Valles,1. Chuquisaca,4. CUARTO QUINTIL,0. CALIDAD MEDIA
112-000385-A-0121,112-000385-A,112,1. CASA,2. PROPIA TOTALMENTE PAGADA,,1. LADRILLO/ BLOQUE DE CEMENTO/ HORMIGÓN,,1. SI,1. CALAMINA O PLANCHA,,6. CEMENTO,,1. SI,"2. CAÑERIA DE RED FUERA DE LA VIVIENDA, PERO DENTRO DEL LOTE  O TERRENO",,,,,,1. TODO EL TIEMPO,1. SI,1. BAÑO O LETRINA CON DESCARGA DE AGUA,1. A LA RED  DE  ALCANTARILLADO,1. USADO SOLO POR SU HOGAR,4. GAS NATURAL POR RED (CAÑERIA),,1. SI,2.0,1.0,,,,,,1.  NO TIENE ANIMALES,,1. SI,1. SI,2. NO,2. NO,1. SI,2. NO,1. SI,2. NO,2. NO,2. NO,1. SI,2. NO,2. NO,2. NO,1. SI,2. NO,2. NO,,2. NO,2. UTILIZAN EL SERVICIO PÚBLICO DE RECOLECCIÓN (CARRO BASURERO),,2. NO,,,,,2. NO,08:59,1. SAL EN BOLSAS CON SELLO,1. POSITIVO (COLOR MORADO),0.6749692486311495,1. Urbana,2. Valles,1. Chuquisaca,3. QUINTIL INTERMEDIO,1. CALIDAD ALTA
112-000385-A-0221,112-000385-A,112,4. CUARTO(S) O HABITACION(ES) SUELTA(S),6. PRESTADA POR PARIENTES O AMIGOS,,1. LADRILLO/ BLOQUE DE CEMENTO/ HORMIGÓN,,1. SI,2. TEJA (CEMENTO/ ARCILLA/ FIBROCEMENTO),,6. CEMENTO,,1. SI,"2. CAÑERIA DE RED FUERA DE LA VIVIENDA, PERO DENTRO DEL LOTE  O TERRENO",,,,,,1. TODO EL TIEMPO,1. SI,1. BAÑO O LETRINA CON DESCARGA DE AGUA,1. A LA RED  DE  ALCANTARILLADO,2. COMPARTIDO CON OTROS HOGARES,6. NO COCINA,,2. NO,1.0,0.0,1. CON PERROS,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. SI,1. SI,2. NO,2. NO,2. NO,1. SI,2. NO,,2. NO,2. UTILIZAN EL SERVICIO PÚBLICO DE RECOLECCIÓN (CARRO BASURERO),,2. NO,,,,,2. NO,08:16,5. NINGUNA SAL,,0.6749692486311495,1. Urbana,2. Valles,1. Chuquisaca,3. QUINTIL INTERMEDIO,0. CALIDAD MEDIA
